Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
15980;FG Faculdade Global;FG
16010;FACULDADE DE ENSINO SUPERIOR DE LINHARES;FACELI
16037;Instituto Superior de Ciencias Policiais;ISCP
16194;Faculdade Gran Tietê;FGT
16218;FACULDADE CLARETIANA DE BRASILIA;FCB
16225;Faculdade Regional do Jacuípe;FARJ
16245;FACULDADE ESCOLA DE NEGÓCIOS EXCELLENCE;FAENE
16395;Faculdade de Tecnologia de Carapicuiba;FATEC
16410;Faculdade de Tecnologia de Catanduva;FATEC Catanduva
16437;FACULDADE DE CIÊNCIAS DA SAÚDE;FACS
16459;FACULDADE UNIRB - SALVADOR ;FACULDADE UNIRB
16502;FACULDADE AETOS;FAETOS
16525;FACULDADE DUARTE COELHO;FDC
16543;Faculdade Metropolitana do Estado de São Paulo;FAMEESP
16556;Faculdade ALFAUNIPAC de Capelinha;
16559;FACULDADE SÃO FRANCISCO DO CEARÁ;FASC
16602;FACULDADE DE EDUCAÇÃO ELIÂ;FACEEL
16628;Faculdade ANASPS;FANASPS
16654;FACULDADE UNIRB - SERRINHA;FACULDADE UNIRB
16691;Faculdade NETCOM;FANET
16725;Faculdade de Educacao e Tecnologia do Para;FAETE
16728;AFYA Faculdade de Ciências Médicas de Palmas;AFYA PALMAS
16759;FACULDADE DE CIÊNCIAS MÉDICAS E JURÍDICA ;FACMED
16782;Faculdade Mário Quintana;FAMAQUI
16816;Faculdade do Vale;FAV
16849;Faculdade Modal;Modal
16864;Faculdade Cultura Inglesa;FCI
16879;Faculdade de Medicina de Olinda;FMO
16894;Faculdade Internacional de São Luís;ISL
16895;INSTITUTO POLITÉCNICO DOCTUM DE VITÓRIA;
16898;FACULDADE DE EDUCAÇÃO E TECNOLOGIA DA AMAZÔNIA;FAM
16914;Faculdade Leonardo da Vinci - Santa Catarina;FAVINCI
16918;FACULDADE CATÓLICA DE FEIRA DE SANTANA;
16934;Faculdade Méliès;MÉLIÈS
16943;FACULDADE UNINASSAU PARNAMIRIM;
16948;Faculdade 28 de Agosto de Ensino e Pesquisa;28 de Agosto
16964;Faculdade de Tecnologia de Horizonte;FATHOR
16967;FACULDADE SENAI RIO;
17014;CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE;CSEJCDA
17025;Faculdade de Educação Superior de Paragominas;FACESP
17091;Faculdade CERS;CERS
17115;FACULDADE TRÊS MARIAS;FTM
17116;Faculdade de Ciências de Goiana;FCG
17118;Faculdade do Norte de Mato Grosso;AJES
17138;Centro Universitário - Católica de Santa Catarina em Joinville;Católica em Joinvile
17200;Faculdade Brasileira de Tributação;FBT
17224;Faculdade Cesmac do Sertão;CESMAC Sertão
17226;Faculdade Cesmac do Agreste;CESMAC Agreste
17269;INSTITUTO DE EDUCAÇÃO SUPERIOR E INOVAÇÃO PERSONA;
17277;Faculdade  SENAC Criciúma;Senac Criciúma
17284;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE SÃO LUÍS;UNINASSAU
17288;Faculdade Teológica Betânia;FATEBE
17289;Faculdade Uriel de Almeida Leitão;
17291;FACULDADE FAPAF;FAPAF
17322;Faculdade Aberta do Tocantins;FAT
17326;FACULDADE GIANNA BERETTA;
17348;Faculdade Alis de Itabirito;
17352;Faculdade de Educação Memorial Adelaide Franco;FEMAF
17355;Faculdade de Educação em Ciências da Saúde;FECS
17394;FACULDADE 05 DE JULHO;F5
17395;Instituto Educacional das Américas ;IEA Educacional
17400;Faculdade Menino Deus;FAMED
17401;Faculdade de Tecnologia CNA;FATECNA
17403;FACULDADE ARI DE SÁ;FAS
17405;FACULDADE AFONSO MAFRENSE;FAM
17420;FACULDADE CESUMAR DE PONTA GROSSA;FAC-CESUMAR
17433;FACULDADE SANTO AGOSTINHO DE VITÓRIA DA CONQUISTA;FASAVIC
17438;Faculdade Católica Cavanis do Sudoeste do Pará;FCCSPA
17460;FACULDADE Profissional;FAPRO
17487;Faculdade Metropolitana do Marajó;FAMMA
17490;FACULDADE JOÃO PAULO II;FAJOP
17498;FACULDADE DE SAÚDE SANTO AGOSTINHO DE VITÓRIA DA CONQUISTA;FASA
17499;FACULDADE VIDAL;FAVILI
17553;Faculdades FAMEP Unidade Lago da Pedra - MA;FAMEP
17558;Faculdade Santo André;FASA
17559;FACULDADE LOGOS;FALOG
17563;FACULDADE DE TECNOLOGIA COESP;FCOESP
17565;FACULDADE DE CIÊNCIAS HUMANAS,EXATAS E DA SAÚDE DO PIAUÍ;FAHESP
17590;Faculdade ISAE BRASIL;ISAE
17593;Faculdade de Botucatu;FDB
17598;FACULDADE PROF. WLADEMIR DOS SANTOS;WLASAN
17608;Faculdade de Educação Paulistana;FAEP
17628;Faculdade do Maciço do Baturité;FMB
17632;Faculdade CESUMAR de Londrina;FAC-CESUMAR
17651;FACULDADE LIFE;FACLIFE
17662;Faculdade Galileu;FG
17666;FACULDADE ANHANGUERA UNIDADE PARAGOMINAS;
17667;FACULDADE ANHANGUERA UNIDADE PARAUAPEBAS;
17670;Faculdade de Quixeramobim;UniQ
17672;Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de São Paulo;IDP-SP
17674;Faculdade de Educação de São Mateus;
17688;FACULDADE FADAM;FADAM
17690;FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE;
17691;FACULDADE DE TECNOLOGIA SENAI GASPAR RICARDO JUNIOR;
17715;FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO;FACESP
17731;FACULDADE SESI-SP DE EDUCAÇÃO;FASESP
17738;Faculdade Cesgranrio;FACESGRANRIO
17745;Faculdade de São Carlos;FASC
17749;Faculdade América;América
17758;Faculdades FAMEP Unidade Euclides da Cunha - BA;FAMEP
17763;Faculdade SENAI da Paraíba;
17775;Faculdade de Ciências da Saúde de Serra Talhada;FACISST
17777;FACULDADE SENAC CONCÓRDIA;
17783;Faculdade de Mediação Ívia Corneli;FAMIC
17816;FACULDADE UNINASSAU FEIRA DE SANTANA;
17830;Faculdade Católica de Abaetetuba;FCAB
17831;Faculdade UniBRAS Catalão;FACBRAS
17839;FACULDADE DE DRACENA;
17854;Centro Universitário Unifecaf;
17874;Faculdade de Educação Superior de Tangará da Serra;FAEST
17875;Faculdade Católica de Belém;FACBEL
17876;FACULDADE ESPÍRITO SANTO;FAES
17882;FACULDADE ESCOLA POLITÉCNICA DE INOVAÇÃO E CONHECIMENTO APLICADO;ÉPICA
17886;Faculdade de Educação Sul do Piauí;
17887;Faculdade de Ciências Médicas de São José dos Campos;
17889;FACULDADE IBG;IBG
17896;FACULDADE BRASILEIRA DE TECNOLOGIA;FBT
17902;FACULDADE ESAMC JUNDIAÍ;ESAMC
17926;Faculdade de Ensino Superior Paschoal Dantas;
17928;Faculdade Aliança Educacional do Estado de São Paulo;
17942;Faculdade de Tecnologia do Tatuapé;FATEC-TT
17952;Faculdade de Tecnologia de Jacareí;FATEC Jacareí
17953;Faculdade de Tecnologia de Pompeia - Shunji Nishimura;FATEC Pompeia
17977;Faculdade de Tecnologia de Itaquera;FATEC ITAQUERA
17982;Faculdade Rhema;FACUR
17985;FACULDADE PRESBITERIANA QUINZE DE NOVEMBRO;
18009;Faculdade BSSP;
18019;Faculdade do Educador;FEDUC
18023;FACULDADE UNINASSAU PETROLINA;
18025;FACULDADE DE EDUCAÇÃO SUPERIOR DE CHAPECÓ;FACESC
18033;FACULDADE DE TEODORO SAMPAIO;FTS
18034;Centro de Ensino Superior Riograndense;CESURG
18035;Escola Brasileira de Medicina Chinesa;EBRAMEC
18036;FACULDADE DE EMPREENDEDORISMO E CIÊNCIAS HUMANAS;FACULDADE FAECH
18039;Faculdade Capacitar;
18046;FACULDADE ILAPEO;ILAPEO
18048;Faculdade Vértix Trirriense;FVT
18049;Faculdade de Tecnologia de Taubaté;FATEC TAUBATÉ
18051;Faculdades de Ciências e Tecnologia do Nordeste LTDA;FACINE
18059;FACULDADE SANTO ANTONIO DE QUEIMADAS;FSAQ
18062;Faculdade Marechal Rondon;
18065;CISNE - FACULDADE DE QUIXADÁ;CFQ
18066;Faculdade de Ciências e Tecnologia Paschoal Dantas;
18072;Faculdade de Direito TECH de São Paulo;FADITECH
18073;Faculdade Fasipe Cuiabá;FFC
18075;FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES;UNINASSAU
18077;Faculdade Cosmopolita;
18099;Faculdade de Tecnologia de Diadema Luigi Papaiz;FATEC DIADEMA
18106;FACULDADE COELHO NETO;FACNET
18114;Faculdade Fasipe Mato Grosso;FFMT
18133;Faculdade Unida de Campinas Goiânia - FACUNICAMPS GOIÂNIA;FACUNICAMPS
18148;FACULDADE CONHECIMENTO & CIÊNCIA;FCC
18165;Fundação Universidade Virtual do Estado de São Paulo;UNIVESP
18167;Faculdade CEPEP;
18201;FACULDADE SENAC PALHOÇA;SENAC Palhoça
18211;FACULDADE UNINASSAU CABO;
18253;FACULDADE VALE DO AÇO;FAVALE
18258;FACULDADE UNIFICADA DO ESTADO DE SÃO PAULO;FAUESP
18267;FACULDADE INTEGRADA DE GESTÃO E MEIO AMBIENTE;FACIGMA
18288;Faculdade Latino-americana;FLAM
18296;Faculdade AGES de Tucano;Faculdade AGES
18304;FACULDADE ARIANO SUASSUNA - UNIVAS ;
18319;FACULDADES INTEGRADAS VITAL BRAZIL;FVB
18372;Faculdade Unibras - Prudente;FACBRAS
18440;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;UNIFESSPA
18454;Faculdade Una de Sete Lagoas;Unaset
18462;FACULDADE PROMOVE DE CURVELO;FACURVELO
18463;Faculdade UniFAHE;
18471;Faculdades Aggeu Magalhães;FAMA
18478;Faculdade Paulo Picanço;FACPP
18492;Universidade Estadual do Paraná;UNESPAR
18497;Faculdade Maranhense;FAM
18506;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;UFOB
18509;FACULDADE SOLIDÁRIA DE SOBRADINHO ;FASOL
18516;FACULDADE MIRIENSE;
18520;Faculdade ALFAUNIPAC de Araçuaí;
18526;FACULDADE DE OSASCO;FCO
18616;FACULDADE ÁGORA - FAG;FAG
18620;FACULDADE DA CONSTRUÇÃO E DO TRABALHO;FACT
18623;FACULDADE ALIANÇA DO MARANHÃO;FAMAR
18625;Faculdade Anhanguera De Vitória Da Conquista;
18628;Faculdade Pitágoras de Luis Eduardo Magalhães;
18631;FACULDADE DO VALE DO RIO ARINOS;AJES
18636;Faculdade da Região Sisaleira;FARESI
18637;Faculdade IMES;IMES
18639;Faculdade Pitágoras de Bacabal;
18643;FACULDADE UNINASSAU MARACANAÚ;
18646;FACULDADE DE SOBRAL;FASOL
18648;Faculdade Uninassau Arapiraca;
18649;FACULDADE UNINASSAU MOSSORÓ;
18650;UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO;FMN RIO BRANCO
18651;Unama Faculdade da Amazônia de Boa Vista;UNAMA
18653;Faculdade Uninassau Garanhuns;Nassau Garanhuns
18659;FACULDADE ANHANGUERA DO CEARÁ;
18667;FACULDADE SANTO ANTÔNIO;FSA
18671;FACULDADE DA AMAZÔNIA DE PORTO VELHO;
18672;Unama Faculdade da Amazônia de Macapá;
18676;Faculdade Uninassau Palmas;Nassau Palmas
18679;FACULDADE DE ADMINISTRAÇÃO, COMÉRCIO E EMPREENDEDORISMO;FACEM
18681;FACULDADE VERBO EDUCACIONAL;VERBOEDU
18684;Faculdade Santa Teresa;
18692;Faculdade ALFAUNIPAC de Guanhães;
18696;FACULDADE DYNAMUS DE CAMPINAS ;FADYC
18698;INSTITUTO RACINE DE EDUCAÇÃO SUPERIOR;RACINE
18703;ENSINO SUPERIOR ALBERT SABIN ;ESAS
18708;Faculdade AGES de Senhor do Bonfim;Faculdade AGES
18711;FACULDADE INOVA MAIS DE SÃO PAULO;FIMSP
18719;FACULDADE DE EDUCAÇÃO DE SANTA CATARINA;FAESC
18729;FACULDADES IPEDE;IPEDE
18734;Faculdade de Martinópolis ;FAMA
18735;FACULDADE ONE LEARNING;
18736;Escola Superior de Tecnologia & Gestão de Santa Catarina;EST&G
18745;Faculdade de Ciências Aplicadas Piauiense;FACAPI
18749;Faculdade de Elesbão Veloso;FAEVE
18751;Faculdade Malta;FACMA
18759;UNIVERSIDADE FEDERAL DO CARIRI;UFCA
18799;Faculdade Itataia;FACIT
18812;UNIVERSIDADE FEDERAL DO SUL DA BAHIA;UFSB
18814;Faculdade Ibiapaba;
18817;Faculdade de Tecnologia de São Roque;FATEC-SR
18826;Faculdade FILOS;
18874;FACULDADE RAIMUNDO MARINHO DE PENEDO;
18896;Soberana Faculdade de Saúde de Petrolina;SOBERANA
18952;Faculdade FAMART;
18956;Faculdade de Ciências e Tecnologia de Janaúba;FACITEC
18978;Faculdade Rebouças de Campina Grande;FRCG
18979;Faculdade Multivix Vila Velha;MULTIVIX VILA V
19130;FACULDADE SERRA GERAL;FASG
19171;Faculdade de Teologia Fortaleza - FATEFOR;FATEFOR
19172;Faculdades Integradas Aparício Carvalho Vilhena;FIMCAVILHENA
19173;FACULDADES INTEGRADAS DO CEARÁ - UniFIC;FACULDADE UniFIC
19189;FIP - FACULDADE DE IPORÃ PARANÁ;FIP
19196;Faculdade IDD;IDD
19197;FACULDADE NIP DE CIÊNCIAS APLICADAS;FANIP
19198;FACULDADE DE TECNOLOGIA E EDUCAÇÃO DE GOIÁS;FATEG
19206;FACULDADE UNIRB - FORTALEZA;F. UNIRB
19207;Faculdade Supremo;Supremo
19210;Faculdades Integradas de Taguaí;FIT
19214;Faculdade Norte e Nordeste do Brasil;FANOR - BRASIL
19219;FACULDADE FASIPE DF;FACDF
19229;FACULDADE PRESBITERIANA MACKENZIE BRASILIA;FPMB
19251;FACULDADE PÓLIS CIVITAS;
19252;FACULDADE DE TECNOLOGIA ALPHA CHANNEL;FATAC
19256;Faculdade Pitágoras de Brumado;
19257;Faculdade UNA de Divinópolis;Una Divinopolis
19260;FACULDADE ANHANGUERA DE JEQUIÉ;FPJ
19281;FACULDADE ATAME;ATAME
19284;FACULDADE BRASILEIRA DO RECÔNCAVO;FBBR
19287;Faculdade do Centro Maranhense;FCMA
19297;FACULDADE PIO DECIMO DE CANINDE DO SAO FRANCISCO;FAPIDE
19298;Faculdade Pitagoras de Eunapolis;FPE
19312;FACULDADE MARANATHA;FAMAH
19319;FACULDADE METROPOLITANA DE TERESINA;
19320;Escola de Políticas Públicas e Governo da Fundação Getulio Vargas;FGV EPPG
19321;Faculdades Vale do Piancó;FAVAP
19323;FACULDADE ANHANGUERA DE MARABÁ;
19324;Faculdade de Tecnologia SENAI Dourados;FATEC Dourados
19325;Faculdade do Centro Oeste Paulista;FACOP
19327;Faculdade Cesar;FCE
19334;Faculdade Uninassau Brasília;Nassau Brasília
19337;FACULDADE UNIFAMETRO MARACANAÚ;
19348;Faculdade de Tecnologia Ícone;FACTI
19349;Faculdade do Instituto Panamericano;FACIPAN
19352;Faculdade Paulista de Gestão e Saúde;
19369;Faculdade CEAM;CEAM
19371;Faculdade Adelina Moura - FAADEMA;FAADEMA
19374;FACULDADE SANTA LUZIA;FSL
19408;Faculdade AGES de Jacobina;Faculdade AGES
19475;Faculdade Docktor;FADOCKTOR
19500;Faculdade de Tecnologia de São Carlos;FATEC São Carlo
19501;Faculdade de Tecnologia Sebrae;FATEC SEBRAE
19512;Centro Universitário Imepac - Araguari;
19517;FACULDADE DO CENTRO EDUCACIONAL SANTA ISABEL;FACESI
19542;FACULDADES JOÃO PAULO II - Campus Porto Alegre;FJP
19554;Faculdade Petrus;FAPETRUS
19555;Favenorte de Porteirinha;FAVEPORT
19563;Faculdade UMFG;UMFG
19565;Faculdade Tecnológica de Pernambuco;FATEPE
19578;Faculdade de Tecnologia de Cotia;FATEC COTIA
19586;FACULDADE UNITÀ;UNITÀ
19587;FACULDADES JOÃO PAULO II - PELOTAS;FJP -PELOTAS
19588;Faculdade de Educação Tecnológica do Estado do Rio de Janeiro;FAETERJ CAXIAS
19597;Faculdade Via Sapiens;FVS
19607;FACULDADE SANTISSIMA TRINDADE;FAST
19632;FACULDADE DAMA;
19635;Faculdade de Ensino Superior Pelegrino Cipriani;FASPEC
19670;Faculdade de Ciências da Saúde Moinhos de Vento;FACSMV
19716;Faculdade Integral de Jaboatão dos Guararapes;FIJ
19727;Faculdade Republicana;
19739;Faculdade de Tecnologia de Campinas;FATEC CAMPINAS
19780;Faculdade Pitágoras Unopar de Guanambi;FPG
19781;Faculdade Pitágoras de Juiz de Fora;FPJF
19783;FACULDADE ANHANGUERA DE PARAGOMINAS;FPP
19785;FACULDADE ANHANGUERA DE RIBEIRÃO DAS NEVES;
19786;FACULDADE ANHANGUERA DE SERRA;FPS
19787;Faculdade Pitágoras de Tucuruí;
19788;FACULDADE ANHANGUERA DE PARAUAPEBAS;
19793;FACULDADE FADAM DE MARACANAÚ;FADAM
19816;Faculdade Alffa do Brasil;FAB
19838;Faculdade Lusitana de Pernambuco;FALUP
19842;CENTRO DE ENSINO SUPERIOR DE BACABEIRA;CESBA
19844;FACULDADE UNINASSAU SOBRAL;
19853;Faculdade Dom Bosco Paraná;Dom Bosco Paraná
19859;FACULDADE UNIFAMETRO CASCAVEL;
19860;FACULDADE CONCEITO EDUCACIONAL;FACCON
19861;Faculdade de Santana de Parnaíba;FASP
19862;Faculdade de Tecnologia Jorge Caram Sabbag;FATEC Bebedouro
19863;Faculdade de Tecnologia de Assis;FATEC Assis
19864;Faculdade de Tecnologia de Itapira;FATEC Itapira
19865;Faculdade Una de Pouso Alegre;Una PousoAlegre
19866;Faculdade EduCareMT;EDUCARE
19878;FACULDADE CATEDRAL;FacCATEDRAL
19879;Faculdade IPESSP;IPESSP
19883;Faculdade Sul Paulista de Itanhaém;FASUPI
19909;Faculdade ICTQ/PGE;ICTQ/PGE
19910;Faculdades Planalto Central;FPC
19943;Faculdade Unisapiens ;SAPIENS
19952;FACULDADE DE GESTAO E NEGOCIOS DE CACHOEIRINHA;FGN CACHOEIRINH
19956;FACULDADE UNIRB JOÃO PESSOA;F.UNIRB
19957;FACULDADE UNIRB PARNAMIRIM;F.UNIRB
19958;FACULDADE DE GESTAO E NEGOCIOS DE TERESINA;FGN TERESINA
19963;Faculdade de Ciências Odontológicas;FCO
20052;Faculdade ABC de Goiânia;FABC
20053;FACULDADE UNIMED;
20070;Faculdade Primeiro de Janeiro;FPJ
20074;Instituto Brasileiro de Coaching;IBC
20096;Faculdade INPG de Blumenau;FACINPG
20098;Faculdade Integração;FI
20099;Faculdade de Direito, Ciências e Tecnologia Santa Maria Mada;FADICT
20100;Instituto Leya de Educação Superior;Leya
20105;Faculdade de Ciências e Saúde Edufor;EDUFOR
20106;FACULDADE STBNB;
20110;Faculdade de Tecnologia e Administração Edufor;EDUFOR
20122;FACULDADE DOMUS SAPIENS;FDS
20291;Faculdade do Vale do Caju;FVC
20321;FACULDADE IMPACTO;
20322;Escola de Ensino Superior do Agreste Paraibano;EESAP
20328;FACULDADE DE ODONTOLOGIA DA APCD;FAOA
20340;FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE;FPCS
20406;Faculdade Jaguar Indaiá;FJI
20410;Faculdade de Indiara;FAIND
20438;FACULDADE INTERCULTURAL DA AMAZONIA;FIAMA
20455;Faculdade de Tecnologia Avançada;
20465;Faculdade de Agronegócios de Holambra;FAAGROH
20476;Faculdade ANCLIVEPA;ANCLIVEPA
20478;Faculdade de Tecnologia de Santana de Parnaíba;FATEC-SPB
20481;Faculdade de Bragança;FABRA
20494;Faculdade Autônoma do Brasil - Maceió;FBR Maceió
20497;FACULDADE ROBERTO MIRANDA;FRM SP
20499;Faculdade da Polícia Militar;FPM
20530;Faculdade Marquês de Olinda;FMO
20532;Faculdade Metropolitana de Horizonte;FMH
20537;FACULDADE BAIANA DO SENHOR DO BONFIM;FABASB
20541;FACULDADE UNISE;
20548;FACULDADE UNINTA TIANGUA;
20563;FACULDADES JOÃO PAULO II - RIO GRANDE;FJP
20570;Faculdade Alpha;Alpha
20584;FACULDADE SANTANA;
20586;Faculdade Van Gogh;FVG
20587;Faculdade Pitágoras de Irecê;FPI
20588;Faculdade de Direito de Uruguaiana - Anhanguera;
20591;FACULDADE UNIS POUSO ALEGRE;
20605;Faculdades Sulamérica Bahia;
20606;Faculdade de Tecnologia e Ciências;FTC Juazeiro
20607;Faculdade de Tecnologia e Ciências - FTC Petrolina;FTC Petrolina
20615;Faculdade do Sertão Central;FASEC
20622;FACULDADE UNIRB - CAMAÇARI ;FACULDADE UNIRB
20636;Faculdade Trilógica Keppe & Pacheco;Keppe & Pacheco
20643;FACULDADE UNIRB - TERESINA;F. UNIRB
20651;Faculdades IDAAM;IDAAM
20663;FACULDADE INNOVATE DE ANÁPOLIS;INNOVATE
20666;Faculdade ELO;FAELO
20667;UNETRI FACULDADES;UNETRI
20682;Faculdade IDOR de Ciências Médicas;Faculdade IDOR
20685;FACULDADE HOSPITAL SÃO PAULO DE MURIAÉ;FAMEHSP
20700;FACULDADE DE DESENVOLVIMENTO DO NORTE;FADENORTE
20975;FACULDADE NOVO HORIZONTE;FNH
21088;FACULDADE RODOLFO TEÓFILO;FRT
21095;Academia Militar das Agulhas Negras;AMAN
21103;FIEP - FACULDADE INTERNACIONAL DE EVOLUÇÃO PROFISSIONAL;FIEP
21108;Faculdade São Judas de Terra Boa;FSJ
21112;Faculdade XP Educação - IGTI;XPE
21165;FACULDADE EASE BRASIL;EASE
21200;Faculdade ISMD;ISMD
21201;FTRB - Faculdade Teológica Reformada de Brasília;
21204;FACULDADE UNITERP;FACTERP
21206;Escola de Educação Física do Exército;EsEFEx
21210;Faculdade Estratego;ESTRATEGO
21215;Faculdade de Ensino de Pesquisa do Cooperativismo;FEPCOOP
21220;Faculdade Metropolitana das Américas;FAMA
21224;FACULDADE INTERNACIONAL CIDADE VIVA;
21226;FACULDADE SUDOESTE;FASU
21238;Faculdade Anhanguera de São José do Rio Preto;FASJRP
21239;Faculdade Anhanguera de Jaú;FAJ
21240;FACULDADE UNIRB - PIAUÍ;F. UNIRB
21262;FACULDADE REGIONAL JAGUARIBANA;FRJ
21268;FACULDADE ESTÁCIO DE ANANINDEUA;
21280;FACULDADE ANHANGUERA DE ALAGOINHAS ;FPA
21310;Faculdade FARUS;FARUS
21321;Faculdade Sensu;FAS
21344;FACULDADE UNICPO;FACULDADE UNICPO
21355;Faculdades de Inovação e Tecnologia de Minas Gerais;FIT MG
21362;Faculdade Centro Oeste Catanduvas;FACOC
21364;FACULDADE UNIFAEL PORTO ALEGRE;FAEL POA
21366;FACULDADE UNIFAEL CURITIBA;FAEL CURITIBA
21398;FACULDADE UNINASSAU IMPERATRIZ;
21408;FACULDADE INTEGRADA DE PALMEIRAS DE GOIÁS;FAI
21412;Faculdade Multiversa;Multiversa
21416;Centro de Instrução de Aviação do Exército;CIAvEx
21426;Faculdade Novoeste;NOVOESTE
21431;Faculdade IBECO;IBECO
21442;Faculdade Mega;MEGA
21444;Faculdade Ágape de São Félix;
21445;Faculdade Regional do Centro Sul de Sergipe;FARSUL
21446;Instituto Superior da Convenção Nac. das Assembleias de Deus;ISCON
21459;FACULDADE DOM BOSCO DE MARINGA;DOM BOSCO
21463;FACULDADE DE ENSINO PORTAL;FEP
21485;Faculdade de Ensino Paschoal Dantas;FEPD
21494;FACULDADES INTEGRADAS DE PATOS;FIP
21502;FACULDADES INTEGRADAS POTENCIAL;FIP
21503;COLÉGIO PEDRO II;CP II
21505;FACULDADE PRISMA DE APUCARANA;FPA
21514;FACULDADE DO SERTÃO DO SÃO FRANCISCO;FASF
21519;Faculdade Atitus Educação Porto Alegre;Atitus Educação
21537;Faculdade de Santo Ângelo;FASA
21540;FACULDADE FREIRE DE ENSINO;FFE
21552;FACULDADE ANHANGUERA DE RIO BRANCO;
21553;FACULDADE ANHANGUERA DE SANTO ANTÔNIO DE JESUS;
21554;Faculdade Anhanguera de Itapeva;FAI
21555;FACULDADE SION;SION
21556;FACULDADE DE GOIANA;FAG
21557;FACULDADE DOS PALMARES;FAP
21573;Faculdade Ana Carolina Puga;FAPUGA
21574;FACULDADE EGAS MONIZ;FEM
21577;Faculdade Focus;Focus
21583;FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO;FAESPE
21592;FACULDADE AMAZONAS;
21593;Faculdade Plus;PLUS
21616;FACULDADE ATUALIZA;ATUALIZA
21631;FACULDADE SUPREMO REDENTOR;FACSUR
21636;FACULDADE TERRA BRASILIS;
21638;Faculdade PECEGE;PECEGE
21643;Faculdade Rudolf Steiner;FRS
21654;Faculdade de Engenharia e Agrimensura de São Paulo;FEASP
21669;Faculdade Kennedy de Ipatinga;FKIPATINGA
21670;Faculdade Promove de São Paulo;FPSP
21672;Faculdade Cerrado;FACE
21674;Faculdade Promove de Alfenas;
21675;FACULDADE CIDADE DE APARECIDA DE GOIÂNIA;FacCidade
21680;FACULDADE CEAFI;
21681;FACULDADE UNIVEST DE EDUCAÇÃO;UNIVEST
21685;Faculdade Gil Gal;GILGAL
21687;FACULDADE ANHANGUERA ITABIRA;
21693;Faculdade Anhanguera Franca;FAF
21713;Faculdade de Tecnologia - Fatec de Ribeirão Preto;
21716;FACULDADE CESMA DE MARACANAÚ;FACESMA
21722;FORMAÇÃO FACULDADE INTEGRADA;FFI
21757;Fasul Educacional EaD;FASUL EDUCACIONAL
21764;Faculdade de Ciências da Saúde IGESP;
21788;Instituto de Desenvolvimento Educacional;IDE
21811;Faculdade Paiva Andrade;FPA
21812;Faculdade Regional de Leopoldina;
21814;Instituto de Pesquisas, Ensino e Gestão em Saúde;IPGS
21819;FACULDADE REGIONAL DO AMAZONAS;FAM
21821;Faculdade de Tecnologia Senac Maringá;
21822;FACULDADE FAVENI GUARULHOS;FAVENI - GUARULHOS
21826;Faculdade Sebrae;
21827;Instituto Friburgo de Ensino Superior;IFES
21847;FACULDADE M-EDUCAR;FAMED
21850;Instituto Internacional de Estudos em Saude;IIESAU
21857;Faculdade Tecnológica de Limoeiro do Norte: Ladislau Pereira;FTLN
21861;FACULDADE UNIVERSO BRASÍLIA;
21869;Faculdade Rachel de Queiroz;FAQ
21871;FACULDADE BAHIANA DE ENGENHARIA E CIÊNCIAS SOCIAIS APLICADAS;FBE
21872;Faculdade CENBRAP;CENBRAP
21873;Faculdade Tecnológica Falcão;FTF
21876;EJ - Faculdade de Tecnologia em Aviação Civil;EJ
21877;FACULDADE INTEGRADA DA AMAZÔNIA;FINAMA
21878;Faculdade Metropolitana de Florianópolis;FAMEFLORIPA
21885;FACULDADE IBAM;
21888;Faculdade Rehagro;Rehagro
21891;FACULDADE DO SERTÃO DO ARARIPE;FASA
21892;CENTRO DE ENSINO SUPERIOR DE PALMAS;CESUP
21900;Faculdade Anhanguera de Catanduva;FAC
21903;Faculdade Pitágoras de Pouso Alegre;FPPA
21906;Faculdade Metropolitana do Ceará ;FAMEC
21921;Faculdade de Ensino Superior de Parnaíba;FAESPA
21926;FACULDADE METROPOLITANA DE JOINVILLE;FAMEVILLE
21928;FACULDADE GRAU S ENSINO SUPERIOR;GRAU
21929;Faculdade Doctum da Zona Norte de Juiz de Fora;Doctum
21931;Faculdade Una de Jataí;Una
21935;Fundação Escola Lince Kempim;FELK
21940;Faculdade Phorte de Educação e Tecnologia;
21949;INSTITUTO DE EDUCACAO SUPERIOR LATINOAMERICANO;SIGLA IESLA
21950;FACULDADE TUCURUÍ ;FATUC
21952;FGV / Escola de Relações Internacionais;FGV/RI
21955;FACULDADE METROPOLITANA DE ITAJAÍ;FIMT
21956;FACULDADE METROPOLITANA DE PALHOÇA;FAMEPALHOÇA
21957;FACULDADE METROPOLITANA DE LAGES;FAMELAGES
21978;Faculdade Edufor de Salvador;EDUFOR
21982;Faculdade Integrada CETE;FIC
