Censo Superior 2025;;
CO_IES;NO_IES;SG_IES
700;FACULDADE DE EDUCAÇÃO DE ITABORAÍ;FEITA
701;FACULDADES INTEGRADAS DE GARANHUNS;FACIGA
702;FACULDADE  DE CIÊNCIAS E TECNOLOGIA PROFESSOR DIRSON MACIEL DE BARROS;FADIMAB
703;FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA;FAFOPA
704;FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA;FACIAGRA
705;CENTRO UNIVERSITÁRIO SÃO JOSÉ;UNISJ
706;FACULDADE DE ARTES DULCINA DE MORAES;FADM
707;CENTRO UNIVERSITÁRIO CENTRAL PAULISTA;UNICEP
712;CENTRO UNIVERSITÁRIO IBMR;
715;FAE CENTRO UNIVERSITÁRIO;
716;FACULDADES INTEGRADAS DE BOTUCATU;
717;FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;UFCSPA
718;UNIVERSIDADE POTIGUAR;UNP
719;Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT;UNEMAT
720;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DO CABO DE SANTO AGOSTINHO;FACHUCA
721;FACULDADE DE ASSIS;FASS
724;Centro Universitário FACEX;UNIFACEX
727;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO;FASF
728;FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO;FACIC
730;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG
734;FACULDADES INTEGRADAS MARIA IMACULADA;FIMI
736;FACULDADE ANHANGUERA DE LINHARES;
737;CENTRO UNIVERSITÁRIO SÃO CAMILO;SAO CAMILO
738;CENTRO UNIVERSITÁRIO TERESA D'ÁVILA;FATEA
739;CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO;SÃO CAMILO-ES
743;ESCOLA SUPERIOR DE ENSINO HELENA ANTIPOFF;ESEHA
744;FACULDADE DE ANICUNS;FA
745;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL;IMESSM
